tag,metric,time,value
1,0,123,0.2366760373
1,0,124,0.6735071623
1,0,125,0.9454402446
1,0,126,0.9858965816
1,0,127,0.7849710511
1,0,128,0.3918572304
1,0,129,-0.0971969067
1,0,130,-0.5624538512
1,0,131,-0.8900024767
1,0,132,-0.999647456
1,0,133,-0.8645438741
1,0,134,-0.5177697998
1,0,135,-0.0442276207
1,0,136,0.4401430225
1,0,137,0.8167513032
1,0,138,0.9933903797
1,0,139,0.9268128456
1,0,140,0.6333192031
1,0,141,0.1847669319
1,0,142,-0.3090227282
1,0,143,-0.7271528468
1,0,144,-0.9672505883
1,0,145,-0.9705316516
1,0,146,-0.7361927182
1,0,147,-0.3216081318
1,0,148,0.1717173418
1,0,149,0.6230004213
1,0,150,0.9217512697
1,0,151,0.9948252601
1,0,152,0.8243313311
1,0,153,0.4520123427
1,0,154,-0.0309750317
1,0,155,-0.5063786381
1,0,156,-0.8578030932
1,0,157,-0.9992074343
1,0,158,-0.8959709468
1,0,159,-0.5733695235
1,0,160,-0.1103872438
1,0,161,0.379621683
1,0,162,0.776685982
1,0,163,0.9835904648
1,0,164,0.9496776979
1,0,165,0.6832507094
1,0,166,0.249540118
1,0,167,-0.2452665973
1,0,168,-0.6800234956
1,0,169,-0.9482869255
1,0,170,-0.9843766434
1,0,171,-0.7794566276
1,0,172,-0.3836984449
1,0,173,0.106002499
1,0,174,0.5697503343
1,0,175,0.8940034169
1,0,176,0.9993732837
1,0,177,0.8600617162
1,0,178,0.5101770449
1,0,179,0.03538324
1,0,180,-0.4480736161
1,0,181,-0.8218264239
1,0,182,-0.9943674609
1,0,183,-0.9234526637
1,0,184,-0.6264444479
1,0,185,-0.1760607832
1,0,186,0.3174287015
1,0,187,0.7332005694
1,0,188,0.9694593667
1,0,189,0.9683606999
1,0,190,0.730173561
1,0,191,0.3132144687
1,0,192,-0.1804304493
1,0,193,-0.6298997006
1,0,194,-0.9251475366
1,0,195,-0.99388699
1,0,196,-0.8192882453
1,0,197,-0.4440991644
1,0,198,0.0398208804
1,0,199,0.5139913849
1,0,200,0.8623188723
1,0,201,0.9995206253
1,0,202,0.8920048698
1,0,203,0.5660952124
1,0,204,0.1015857037
1,0,205,-0.3877955282
1,0,206,-0.7822308899
1,0,207,-0.9851488485
1,0,208,-0.9468680108
1,0,209,-0.6767608608
1,0,210,-0.2409590492
1,0,211,0.2538379413
1,0,212,0.6864865509
1,0,213,0.9510593108
1,0,214,0.982779582
1,0,215,0.773881136
1,0,216,0.3755095978
1,0,217,-0.1147997863
1,0,218,-0.5770021789
1,0,219,-0.8979343145
1,0,220,-0.9990208133
1,0,221,-0.855512175
1,0,222,-0.5025443191
1,0,223,-0.0265360872
1,0,224,0.4559691044
1,0,225,0.8268371568
1,0,226,0.9952666362
1,0,227,0.920020132
1,0,228,0.6195206126
1,0,229,0.1673408407
1,0,230,-0.3258098052
1,0,231,-0.7391908478
1,0,232,-0.9715921906
1,0,233,-0.9661138797
1,0,234,-0.7240971967
1,0,235,-0.3047962661
1,0,236,0.1891294205
1,0,237,0.6367496289
1,0,238,0.9284713207
1,0,239,0.9928708517
1,0,240,0.8141809705
1,0,241,0.4361511922
1,0,242,-0.0486636092
1,0,243,-0.5215638619
1,0,244,-0.8667670911
1,0,245,-0.9997555067
1,0,246,-0.8879689067
1,0,247,-0.5587765493
1,0,248,-0.0927762046
1,0,249,0.3959389907
1,0,250,0.7877145121
